id,link,title,year,category,file
S2405844023013312,https://www.sciencedirect.com/science/article/pii/S2405844023013312,"Effects of liming and different land use types on phosphorus sorption characteristics in acidic agricultural soil of Sodo Zuria Woreda, Southern Ethiopia",2023,agriculture,S2405844023013312,https://www.sciencedirect.com/science/article/pii/S2405844023013312/pdfft?md5=a1a2c3c01324f7af0c570274e7268310&pid=1-s2.0-S2405844023013312-main.pdf
S209531192163873X,https://www.sciencedirect.com/science/article/pii/S209531192163873X,"Agricultural production structure, market conditions and farmers’ nutritional intake in rural China",2022,agriculture,S209531192163873X,https://www.sciencedirect.com/science/article/pii/S209531192163873X/pdfft?md5=7e35e67a68988834f78b7a393ad710ff&pid=1-s2.0-S209531192163873X-main.pdf
S0006320721001178,https://www.sciencedirect.com/science/article/pii/S0006320721001178,"Divergent farmer and scientist perceptions of agricultural biodiversity, ecosystem services and decision-making",2021,agriculture,S0006320721001178,https://www.sciencedirect.com/science/article/pii/S0006320721001178/pdfft?md5=fb58a5e192e068b990ee2d37a9f716e8&pid=1-s2.0-S0006320721001178-main.pdf
S1470160X21000674,https://www.sciencedirect.com/science/article/pii/S1470160X21000674,Drivers of land use complexity along an agricultural transition gradient in Southeast Asia,2021,agriculture,S1470160X21000674,https://www.sciencedirect.com/science/article/pii/S1470160X21000674/pdfft?md5=dd5f9dfb42eecba7b989969eed796c13&pid=1-s2.0-S1470160X21000674-main.pdf
S2212096321000334,https://www.sciencedirect.com/science/article/pii/S2212096321000334,Improving the effectiveness of agricultural extension services in supporting farmers to adapt to climate change: Insights from northeastern Ghana,2021,agriculture,S2212096321000334,https://www.sciencedirect.com/science/article/pii/S2212096321000334/pdfft?md5=26e4130a7f29f9bd4ce6b4829dafad0b&pid=1-s2.0-S2212096321000334-main.pdf
S0308521X21000731,https://www.sciencedirect.com/science/article/pii/S0308521X21000731,Foresighting Australian digital agricultural futures: Applying responsible innovation thinking to anticipate research and development impact under different scenarios,2021,agriculture,S0308521X21000731,https://www.sciencedirect.com/science/article/pii/S0308521X21000731/pdfft?md5=eb8b7e11a47fea5f05e824135fdfbbff&pid=1-s2.0-S0308521X21000731-main.pdf
S0305750X2100022X,https://www.sciencedirect.com/science/article/pii/S0305750X2100022X,"“Before cardamom, we used to face hardship”: Analyzing agricultural commercialization effects in Nepal through a local concept of the Good Life",2021,agriculture,S0305750X2100022X,https://www.sciencedirect.com/science/article/pii/S0305750X2100022X/pdfft?md5=cec60a0a102b841ce74ccaa1ee85742f&pid=1-s2.0-S0305750X2100022X-main.pdf
S0167880921001882,https://www.sciencedirect.com/science/article/pii/S0167880921001882,Sediment transport dynamics in small agricultural catchments in a cold climate: A case study from Norway,2021,agriculture,S0167880921001882,https://www.sciencedirect.com/science/article/pii/S0167880921001882/pdfft?md5=2d0bbb0724494b7def5febc8c348b549&pid=1-s2.0-S0167880921001882-main.pdf
S0959378021000613,https://www.sciencedirect.com/science/article/pii/S0959378021000613,Influences of international agricultural trade on the global phosphorus cycle and its associated issues,2021,agriculture,S0959378021000613,https://www.sciencedirect.com/science/article/pii/S0959378021000613/pdfft?md5=d485a0c77799439917977d91d792a410&pid=1-s2.0-S0959378021000613-main.pdf
S2352146521003720,https://www.sciencedirect.com/science/article/pii/S2352146521003720,Reducing Emissions from Aviation and Their Impact on Aviation Work in Agriculture,2021,agriculture,S2352146521003720,https://www.sciencedirect.com/science/article/pii/S2352146521003720/pdfft?md5=439cd27a52c1c0ac66585b7017fc84df&pid=1-s2.0-S2352146521003720-main.pdf
S2468227622000278,https://www.sciencedirect.com/science/article/pii/S2468227622000278,Effects of total system head and solar radiation on the techno-economics of PV groundwater pumping irrigation system for sustainable agricultural production,2022,agriculture,S2468227622000278,https://www.sciencedirect.com/science/article/pii/S2468227622000278/pdfft?md5=cf901a952c9bf88ce6347fa1a856eb0d&pid=1-s2.0-S2468227622000278-main.pdf
S0147651321007478,https://www.sciencedirect.com/science/article/pii/S0147651321007478,Agricultural groundwater with high nitrates and dissolved salts given to pregnant mice alters brain development in the offspring,2021,agriculture,S0147651321007478,https://www.sciencedirect.com/science/article/pii/S0147651321007478/pdfft?md5=767689ae6b85fa7c8d59f2dea690a457&pid=1-s2.0-S0147651321007478-main.pdf
S240584402102404X,https://www.sciencedirect.com/science/article/pii/S240584402102404X,"Assessment of the potential risk of leaching pesticides in agricultural soils: study case Tibasosa, Boyacá, Colombia",2021,agriculture,S240584402102404X,https://www.sciencedirect.com/science/article/pii/S240584402102404X/pdfft?md5=eb77c22152fefa8bf3915a35a331a15d&pid=1-s2.0-S240584402102404X-main.pdf
S0143622818310427,https://www.sciencedirect.com/science/article/pii/S0143622818310427,"Understanding rural outmigration and agricultural land use change in the Gandaki Basin, Nepal",2020,agriculture,S0143622818310427,https://www.sciencedirect.com/science/article/pii/S0143622818310427/pdfft?md5=306d6298fb54d2922aa7ae6c8e8ae118&pid=1-s2.0-S0143622818310427-main.pdf
S2772801322000239,https://www.sciencedirect.com/science/article/pii/S2772801322000239,Solar powered dryers in agricultural produce processing for sustainable rural development worldwide: A case study from Nayarit-Mexico,2022,agriculture,S2772801322000239,https://www.sciencedirect.com/science/article/pii/S2772801322000239/pdfft?md5=6ed14971e9fa65a76428b90920a262ec&pid=1-s2.0-S2772801322000239-main.pdf
S2666790822001707,https://www.sciencedirect.com/science/article/pii/S2666790822001707,Agricultural waste and natural dolomite for green production of aluminum composites,2022,agriculture,S2666790822001707,https://www.sciencedirect.com/science/article/pii/S2666790822001707/pdfft?md5=83101e1d46d7abac6f4030527fc72490&pid=1-s2.0-S2666790822001707-main.pdf
S0169204623001020,https://www.sciencedirect.com/science/article/pii/S0169204623001020,Where money grows on trees: A socio-ecological assessment of land use change in an agricultural frontier,2023,agriculture,S0169204623001020,https://www.sciencedirect.com/science/article/pii/S0169204623001020/pdfft?md5=2297e20e680b6a0470442c15ea9bc05f&pid=1-s2.0-S0169204623001020-main.pdf
S2214581821000756,https://www.sciencedirect.com/science/article/pii/S2214581821000756,A parsimonious water budget model for Canadian agricultural conditions,2021,agriculture,S2214581821000756,https://www.sciencedirect.com/science/article/pii/S2214581821000756/pdfft?md5=16e097f19709491fa552397bc6bd7995&pid=1-s2.0-S2214581821000756-main.pdf
S074301672100125X,https://www.sciencedirect.com/science/article/pii/S074301672100125X,Digital transformation of agriculture and rural areas: A socio-cyber-physical system framework to support responsibilisation,2021,agriculture,S074301672100125X,https://www.sciencedirect.com/science/article/pii/S074301672100125X/pdfft?md5=8a21850a62d278f3e64759db977d4ed9&pid=1-s2.0-S074301672100125X-main.pdf
S1470160X2031181X,https://www.sciencedirect.com/science/article/pii/S1470160X2031181X,Microbial enzyme activity and stoichiometry signal the effects of agricultural intervention on nutrient cycling in peatlands,2020,agriculture,S1470160X2031181X,https://www.sciencedirect.com/science/article/pii/S1470160X2031181X/pdfft?md5=40c2ce2c02cfe74a59b3f23530b74dd8&pid=1-s2.0-S1470160X2031181X-main.pdf
S0743016721001911,https://www.sciencedirect.com/science/article/pii/S0743016721001911,"The introduction of digital technologies into agriculture: Space, materiality and the public–private interacting forms of authority and expertise",2021,agriculture,S0743016721001911,https://www.sciencedirect.com/science/article/pii/S0743016721001911/pdfft?md5=5cdef735f973a7b96cbf8e47ca67006c&pid=1-s2.0-S0743016721001911-main.pdf
S0305750X21000085,https://www.sciencedirect.com/science/article/pii/S0305750X21000085,Women’s empowerment and gender equality in South Asian agriculture: Measuring progress using the project-level Women’s Empowerment in Agriculture Index (pro-WEAI) in Bangladesh and India,2021,agriculture,S0305750X21000085,https://www.sciencedirect.com/science/article/pii/S0305750X21000085/pdfft?md5=edb09b1ba12f08a8ca78a1dfa1da6c64&pid=1-s2.0-S0305750X21000085-main.pdf
S0048969722010476,https://www.sciencedirect.com/science/article/pii/S0048969722010476,"Can Regenerative Agriculture increase national soil carbon stocks? Simulated country-scale adoption of reduced tillage, cover cropping, and ley-arable integration using RothC",2022,agriculture,S0048969722010476,https://www.sciencedirect.com/science/article/pii/S0048969722010476/pdfft?md5=36e6818fdaf5dedf8a6ef4579048efea&pid=1-s2.0-S0048969722010476-main.pdf
S266604902100027X,https://www.sciencedirect.com/science/article/pii/S266604902100027X,Potential risks of invasive alien plant species on agriculture under climate change scenarios in Sri Lanka,2021,agriculture,S266604902100027X,https://www.sciencedirect.com/science/article/pii/S266604902100027X/pdfft?md5=6e230265b5feffdb94768fd4840fab2d&pid=1-s2.0-S266604902100027X-main.pdf
S0378382021003830,https://www.sciencedirect.com/science/article/pii/S0378382021003830,Ash transformation during single-pellet gasification of sewage sludge and mixtures with agricultural residues with a focus on phosphorus,2021,agriculture,S0378382021003830,https://www.sciencedirect.com/science/article/pii/S0378382021003830/pdfft?md5=24a5a21352da1c5d4b2955fc907d6c2b&pid=1-s2.0-S0378382021003830-main.pdf
S1110982321000235,https://www.sciencedirect.com/science/article/pii/S1110982321000235,"Assessment of agricultural expansion and its impact on land surface temperature in El-Beheira Governorate, Egypt",2021,agriculture,S1110982321000235,https://www.sciencedirect.com/science/article/pii/S1110982321000235/pdfft?md5=58eceb109038841b2aa4bd37e3e32ea7&pid=1-s2.0-S1110982321000235-main.pdf
S0970389620300458,https://www.sciencedirect.com/science/article/pii/S0970389620300458,Addressing crisis in Indian agriculture through agricultural information delivery,2020,agriculture,S0970389620300458,https://www.sciencedirect.com/science/article/pii/S0970389620300458/pdfft?md5=209e4198dad5350da59de199b5153a7d&pid=1-s2.0-S0970389620300458-main.pdf
S1389934122001800,https://www.sciencedirect.com/science/article/pii/S1389934122001800,Is there more to trees than timber? Estimating the private amenity value of forests using a hedonic land model for combined agricultural properties,2022,agriculture,S1389934122001800,https://www.sciencedirect.com/science/article/pii/S1389934122001800/pdfft?md5=afba1580c240e50d02bcf607b31a9f4c&pid=1-s2.0-S1389934122001800-main.pdf
S2666821121000272,https://www.sciencedirect.com/science/article/pii/S2666821121000272,Preserving the quality of agricultural products via the photocatalytic decomposition of ethylene in a spiral-type reactor,2021,agriculture,S2666821121000272,https://www.sciencedirect.com/science/article/pii/S2666821121000272/pdfft?md5=ccb62c0d3373f76b50361a38eb3f8aaa&pid=1-s2.0-S2666821121000272-main.pdf
S0168169919323191,https://www.sciencedirect.com/science/article/pii/S0168169919323191,A hybrid modelling approach to understanding adoption of precision agriculture technologies in Chinese cropping systems,2020,agriculture,S0168169919323191,https://www.sciencedirect.com/science/article/pii/S0168169919323191/pdfft?md5=9ca3cd4478bd9362d08238202b481046&pid=1-s2.0-S0168169919323191-main.pdf
S2405959521000862,https://www.sciencedirect.com/science/article/pii/S2405959521000862,AgriOnBlock: Secured data harvesting for agriculture sector using blockchain technology,2021,agriculture,S2405959521000862,https://www.sciencedirect.com/science/article/pii/S2405959521000862/pdfft?md5=7bc15b4cbc5c544a9d77314129c46c28&pid=1-s2.0-S2405959521000862-main.pdf
S2199853122008435,https://www.sciencedirect.com/science/article/pii/S2199853122008435,"Sustainable Condition of the Agricultural Sector’s Environmental, Economic, and Social Components from the Perspective of Open Innovation",2021,agriculture,S2199853122008435,https://www.sciencedirect.com/science/article/pii/S2199853122008435/pdfft?md5=6ab87d9976fe496fe57b16b42a18496a&pid=1-s2.0-S2199853122008435-main.pdf
S1658077X21000151,https://www.sciencedirect.com/science/article/pii/S1658077X21000151,Cultivable soil fungi community response to agricultural management and tillage system on temperate soil,2021,agriculture,S1658077X21000151,https://www.sciencedirect.com/science/article/pii/S1658077X21000151/pdfft?md5=76dd85c491f08a195679847489518d01&pid=1-s2.0-S1658077X21000151-main.pdf
S0022437522001955,https://www.sciencedirect.com/science/article/pii/S0022437522001955,Ability of youth operators to reach agricultural all-terrain vehicles controls,2022,agriculture,S0022437522001955,https://www.sciencedirect.com/science/article/pii/S0022437522001955/pdfft?md5=d21d621915009fa0509c6869f54204fd&pid=1-s2.0-S0022437522001955-main.pdf
S240584402100921X,https://www.sciencedirect.com/science/article/pii/S240584402100921X,"Agricultural commercialisation, poverty reduction and pro-poor growth: evidence from commercial agricultural development project in Nigeria",2021,agriculture,S240584402100921X,https://www.sciencedirect.com/science/article/pii/S240584402100921X/pdfft?md5=ecc4c29d6ae3451898da8995e152f605&pid=1-s2.0-S240584402100921X-main.pdf
S0264837718310561,https://www.sciencedirect.com/science/article/pii/S0264837718310561,"Farming systems and Conservation Agriculture: Technology, structures and agency in Malawi",2020,agriculture,S0264837718310561,https://www.sciencedirect.com/science/article/pii/S0264837718310561/pdfft?md5=6045e7c3c70d5cd4f1798d935f2dc297&pid=1-s2.0-S0264837718310561-main.pdf
S0048969722016497,https://www.sciencedirect.com/science/article/pii/S0048969722016497,Uncovering antimicrobial resistance in three agricultural biogas plants using plant-based substrates,2022,agriculture,S0048969722016497,https://www.sciencedirect.com/science/article/pii/S0048969722016497/pdfft?md5=b9eca0b16e8fdae4c32949dafff60e51&pid=1-s2.0-S0048969722016497-main.pdf
S0308521X2100233X,https://www.sciencedirect.com/science/article/pii/S0308521X2100233X,Five mechanisms blocking the transition towards ‘nature-inclusive’ agriculture: A systemic analysis of Dutch dairy farming,2021,agriculture,S0308521X2100233X,https://www.sciencedirect.com/science/article/pii/S0308521X2100233X/pdfft?md5=8fadf1d097d50b41057e545405b0438d&pid=1-s2.0-S0308521X2100233X-main.pdf
S1687850722001066,https://www.sciencedirect.com/science/article/pii/S1687850722001066,"Measurement of natural radiation, calculation of radiation doses of agricultural environmental samples in the western region - Kingdom of Saudi Arabia",2022,agriculture,S1687850722001066,https://www.sciencedirect.com/science/article/pii/S1687850722001066/pdfft?md5=05ab5fa4dd6c81e7a771744cf524f05d&pid=1-s2.0-S1687850722001066-main.pdf
S2589721722000216,https://www.sciencedirect.com/science/article/pii/S2589721722000216,Explainable artificial intelligence and interpretable machine learning for agricultural data analysis,2022,agriculture,S2589721722000216,https://www.sciencedirect.com/science/article/pii/S2589721722000216/pdfft?md5=78c1f19fb82554b3033a90b75d5e2da9&pid=1-s2.0-S2589721722000216-main.pdf
S2405844021007568,https://www.sciencedirect.com/science/article/pii/S2405844021007568,Is investment in Climate-Smart-agricultural practices the option for the future? Cost and benefit analysis evidence from Ghana,2021,agriculture,S2405844021007568,https://www.sciencedirect.com/science/article/pii/S2405844021007568/pdfft?md5=0385eee9298f543d2217abf4e17ecc72&pid=1-s2.0-S2405844021007568-main.pdf
S0313592621000990,https://www.sciencedirect.com/science/article/pii/S0313592621000990,The role of global agricultural market integration in multiregional economic modeling: Using hindcast experiments to validate an Armington model,2021,agriculture,S0313592621000990,https://www.sciencedirect.com/science/article/pii/S0313592621000990/pdfft?md5=0959cd852cfefb84c83d54d662882816&pid=1-s2.0-S0313592621000990-main.pdf
S0016236122038832,https://www.sciencedirect.com/science/article/pii/S0016236122038832,Fate of phosphorus in pulverized fuel co-combustion of sewage sludge and agricultural residues,2022,agriculture,S0016236122038832,https://www.sciencedirect.com/science/article/pii/S0016236122038832/pdfft?md5=6c99581ba6edd8357396b362fc915c6c&pid=1-s2.0-S0016236122038832-main.pdf
S2211912420301280,https://www.sciencedirect.com/science/article/pii/S2211912420301280,How can agricultural research translation projects targeting smallholder production systems be strengthened by using Theory of Change?,2020,agriculture,S2211912420301280,https://www.sciencedirect.com/science/article/pii/S2211912420301280/pdfft?md5=ee2ee091e93abdbdd3d75bc4f69f0e71&pid=1-s2.0-S2211912420301280-main.pdf
S0264837721004117,https://www.sciencedirect.com/science/article/pii/S0264837721004117,"Farmers’ values for land, trees and biodiversity underlie agricultural sustainability",2022,agriculture,S0264837721004117,https://www.sciencedirect.com/science/article/pii/S0264837721004117/pdfft?md5=654158418f017769baa826e8246a61e1&pid=1-s2.0-S0264837721004117-main.pdf
S221204162100108X,https://www.sciencedirect.com/science/article/pii/S221204162100108X,A socioecological integrated analysis of the Barcelona metropolitan agricultural landscapes,2021,agriculture,S221204162100108X,https://www.sciencedirect.com/science/article/pii/S221204162100108X/pdfft?md5=dec3c71bd0a6c710e102486252a94c5b&pid=1-s2.0-S221204162100108X-main.pdf
S1049964422001955,https://www.sciencedirect.com/science/article/pii/S1049964422001955,Non-target effects of Verticillium nonalfalfae isolate Vert56 used for biological control of Ailanthus altissima on agricultural crops known to be generally susceptible to Verticillium spp.,2022,agriculture,S1049964422001955,https://www.sciencedirect.com/science/article/pii/S1049964422001955/pdfft?md5=31f88b49b3563584322612919c7c9487&pid=1-s2.0-S1049964422001955-main.pdf
S2666790821000409,https://www.sciencedirect.com/science/article/pii/S2666790821000409,"Pyrolysis, kinetics, and structural analyses of agricultural residues in Egypt: For future assessment of their energy potential",2021,agriculture,S2666790821000409,https://www.sciencedirect.com/science/article/pii/S2666790821000409/pdfft?md5=9ba733d89e90923969c7096dab3690a4&pid=1-s2.0-S2666790821000409-main.pdf
S0378377421007149,https://www.sciencedirect.com/science/article/pii/S0378377421007149,Assessing the costs of Managed Aquifer Recharge options to support agricultural development,2022,agriculture,S0378377421007149,https://www.sciencedirect.com/science/article/pii/S0378377421007149/pdfft?md5=14bef45fdbb8947fa22ad9d7da73d2e4&pid=1-s2.0-S0378377421007149-main.pdf
S2666683920300298,https://www.sciencedirect.com/science/article/pii/S2666683920300298,Impacts of climate change mitigation on agriculture water use: A provincial analysis in China,2020,agriculture,S2666683920300298,https://www.sciencedirect.com/science/article/pii/S2666683920300298/pdfft?md5=a90a0e588175c030ab6ffbe97c67f130&pid=1-s2.0-S2666683920300298-main.pdf
S2590061722000205,https://www.sciencedirect.com/science/article/pii/S2590061722000205,A validated geospatial model approach for monitoring progress of the Sendai Framework: The example of people affected in agriculture due to flooding in Ecuador,2022,agriculture,S2590061722000205,https://www.sciencedirect.com/science/article/pii/S2590061722000205/pdfft?md5=019d1448be80d2f9e4de16b1f7d32953&pid=1-s2.0-S2590061722000205-main.pdf
S246822761930780X,https://www.sciencedirect.com/science/article/pii/S246822761930780X,Adoption and income effects of agricultural extension in northern Ghana,2019,agriculture,S246822761930780X,https://www.sciencedirect.com/science/article/pii/S246822761930780X/pdfft?md5=e2e356a9719f1a98297dd2e054e94a41&pid=1-s2.0-S246822761930780X-main.pdf
S0378377421001232,https://www.sciencedirect.com/science/article/pii/S0378377421001232,Impact of climate change on Swedish agriculture: Growing season rain deficit and irrigation need,2021,agriculture,S0378377421001232,https://www.sciencedirect.com/science/article/pii/S0378377421001232/pdfft?md5=b112e49d9d0da62c158a634250fb5e34&pid=1-s2.0-S0378377421001232-main.pdf
S1470160X23003345,https://www.sciencedirect.com/science/article/pii/S1470160X23003345,Influences of anthropogenic acids on carbonate weathering and CO2 sink in an agricultural karst wetland (South China),2023,agriculture,S1470160X23003345,https://www.sciencedirect.com/science/article/pii/S1470160X23003345/pdfft?md5=39a26b1c8265dd148e4790d4d13d0362&pid=1-s2.0-S1470160X23003345-main.pdf
S1570677X22000181,https://www.sciencedirect.com/science/article/pii/S1570677X22000181,Farm fatalities in Northern Ireland agriculture: What fifty years of data tell us,2022,agriculture,S1570677X22000181,https://www.sciencedirect.com/science/article/pii/S1570677X22000181/pdfft?md5=d4c91a503daa740f0e3e8bd9d7a05e26&pid=1-s2.0-S1570677X22000181-main.pdf
S0308521X22000269,https://www.sciencedirect.com/science/article/pii/S0308521X22000269,Managing salinity for sustainable agricultural production in salt-affected soils of irrigated drylands,2022,agriculture,S0308521X22000269,https://www.sciencedirect.com/science/article/pii/S0308521X22000269/pdfft?md5=5c088c60dc595fa9e5299ddb90d2f2bc&pid=1-s2.0-S0308521X22000269-main.pdf
S0048969720376567,https://www.sciencedirect.com/science/article/pii/S0048969720376567,Identifying causes of poor water quality in a Polish agricultural catchment for designing effective and targeted mitigation measures,2020,agriculture,S0048969720376567,https://www.sciencedirect.com/science/article/pii/S0048969720376567/pdfft?md5=749b4a1c8483429ca6f423cd75f3305d&pid=1-s2.0-S0048969720376567-main.pdf
